Pick and Ban Order - LCK 2024 Spring,Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD


Week 5,T1,Nongshim RedForce,2 - 1,1,14.3,Twisted Fate,Ashe,Smolder,Aatrox,Zeri,Orianna,Senna,"Nautilus, Taliyah","Tahm Kench, Hwei",Varus,Gnar,Udyr,Rumble,Viego,Vi,"K'Sante, Nocturne",Poppy,Bot,Support,Mid,Top,Jungle,Support,Mid,Bot,Jungle,Top,SB,https://www.youtube.com/live/srcPwOKtH5E?si=H_89DPqrIFISYCxr&t=9232
Week 5,Nongshim RedForce,T1,1 - 1,1,14.3,Aatrox,Senna,Orianna,Lucian,Ashe,Nautilus,Smolder,"Twisted Fate, Milio","Vi, Taliyah",Rell,K'Sante,Gnar,Yuumi,Camille,Karma,"Udyr, Rakan",Yone,Bot,Jungle,Mid,Top,Support,Bot,Support,Jungle,Mid,Top,SB,https://www.youtube.com/live/srcPwOKtH5E?si=4Baqy1xdjvTlaqjS&t=5388
Week 5,T1,Nongshim RedForce,1 - 0,1,14.3,K'Sante,Ashe,Twisted Fate,Aatrox,Smolder,Orianna,Senna,"Nautilus, Zeri","Hwei, Lee Sin",Taliyah,Rumble,Viego,Tahm Kench,Vi,Sejuani,"Gnar, Ornn",Jax,Bot,Mid,Jungle,Top,Support,Support,Bot,Mid,Jungle,Top,SB,https://www.youtube.com/live/srcPwOKtH5E?si=nMHHSQqg6K6QnUwL&t=2365
Week 4,OKSavingsBank BRION,Nongshim RedForce,0 - 2,2,14.2,Hwei,Senna,Kalista,Varus,Lucian,Ashe,Azir,"Taliyah, Sejuani","Poppy, Aatrox",Jax,Ezreal,Rakan,Jinx,Aphelios,Rell,"Nautilus, Xayah",Twisted Fate,Mid,Jungle,Top,Support,Bot,Mid,Jungle,Top,Support,Bot,SB,https://www.youtube.com/live/y1MfLPsHtPI?si=eLiDQV-jdltwNjtJ&t=13982
Week 4,Nongshim RedForce,OKSavingsBank BRION,1 - 0,1,14.2,Senna,Rakan,Varus,Lucian,Azir,Orianna,Kalista,"Ashe, Poppy","Hwei, Nautilus",Caitlyn,Sejuani,Karma,Rell,Twisted Fate,Tristana,"K'Sante, Viego",Gragas,Bot,Mid,Support,Top,Jungle,Support,Top,Bot,Mid,Jungle,SB,https://www.youtube.com/live/y1MfLPsHtPI?si=K8-QvTR3PUoqXqiA&t=10820
Week 4,FearX,T1,0 - 2,2,14.2,Poppy,Senna,Ashe,Nautilus,Caitlyn,Lucian,Kalista,"Orianna, Varus","Azir, K'Sante",Aatrox,Jarvan IV,Renata Glasc,Rakan,Rell,Neeko,"Lee Sin, Alistar",Nocturne,Bot,Mid,Top,Jungle,Support,Mid,Bot,Top,Support,Jungle,SB,https://www.youtube.com/live/y1MfLPsHtPI?si=Sh5o7a_QY6UjYO-u&t=4833
Week 4,FearX,T1,0 - 1,2,14.2,Poppy,Senna,Ashe,Nautilus,Caitlyn,Lucian,Kalista,"Orianna, Varus","Renata Glasc, Karma",Aatrox,Jarvan IV,Hwei,Viego,Zyra,Rell,"K'Sante, Lee Sin",Ezreal,Bot,Support,Mid,Top,Jungle,Mid,Bot,Top,Jungle,Support,SB,https://www.youtube.com/live/y1MfLPsHtPI?si=TI6x1yzmbXafonTH&t=1771
Week 4,DRX,Dplus KIA,0 - 2,2,14.2,Kalista,Lucian,Rakan,Senna,Varus,Sejuani,Ashe,"Rell, Aatrox","Poppy, Ezreal",Karma,Azir,Nautilus,Orianna,Pyke,Caitlyn,"Twisted Fate, Camille",Bard,Support,Jungle,Bot,Mid,Top,Jungle,Top,Mid,Bot,Support,SB,https://www.youtube.com/live/3W3Dcj7lJ5U?si=FQRfevLdXKDXQBMr&t=14897
Week 4,Dplus KIA,DRX,1 - 0,1,14.2,Sejuani,Senna,Ashe,Rakan,Milio,Kalista,Lucian,"Varus, K'Sante","Nami, Rell",Poppy,Gwen,Nautilus,Twisted Fate,Orianna,Caitlyn,"Aatrox, Karma",Taliyah,Bot,Support,Jungle,Top,Mid,Support,Top,Jungle,Bot,Mid,SB,https://www.youtube.com/live/3W3Dcj7lJ5U?si=uHzCzcS2ZL2wT8F4&t=11932
Week 4,Hanwha Life Esports,Gen.G,0 - 2,2,14.2,Corki,Senna,Varus,Maokai,K'Sante,Kalista,Lucian,"Aphelios, Rell","Nami, Azir",Milio,Vi,Tristana,Jarvan IV,Taliyah,Hwei,"Sejuani, Aatrox",Jax,Bot,Support,Mid,Jungle,Top,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/3W3Dcj7lJ5U?si=QZiQWw404mhGL0JZ&t=5156
Week 4,Gen.G,Hanwha Life Esports,1 - 0,1,14.2,Maokai,K'Sante,Vi,Tristana,Ashe,Kalista,Senna,"Lucian, Nautilus","Tahm Kench, Azir",Nami,Udyr,Akali,Sejuani,Yone,Aatrox,"Rumble, Lee Sin",Taliyah,Bot,Support,Mid,Top,Jungle,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/3W3Dcj7lJ5U?si=QEeKyZVZT8OhJT70&t=2384
Week 4,Kwangdong Freecs,FearX,2 - 1,1,14.2,Sejuani,Karma,Varus,Senna,Ashe,Kalista,Lucian,"Milio, Azir","Nami, K'Sante",Aphelios,Corki,Maokai,Orianna,Udyr,Poppy,"Hwei, Lee Sin",Gnar,Bot,Support,Top,Mid,Jungle,Support,Mid,Bot,Jungle,Top,SB,https://www.youtube.com/live/s6Hxsxfbkak?si=vruFGowYQAVdOeWA&t=16925
Week 4,FearX,Kwangdong Freecs,1 - 1,1,14.2,Poppy,Varus,Karma,Lucian,Kalista,Senna,Ashe,"Ezreal, Sejuani","Jhin, Maokai",Hwei,Yone,Aatrox,Yasuo,Nautilus,Pyke,"K'Sante, Azir",Garen,Support,Bot,Jungle,Top,Mid,Bot,Jungle,Mid,Support,Top,SB,https://www.youtube.com/live/s6Hxsxfbkak?si=lLo-s6Ko2ayVjhGS&t=13909
Week 4,Kwangdong Freecs,FearX,1 - 0,1,14.2,Sejuani,Poppy,Varus,Karma,Ashe,Senna,Kalista,"Lucian, Milio","K'Sante, Renata Glasc",Udyr,Vi,Yasuo,Hwei,Akali,Orianna,"Azir, Lee Sin",Xin Zhao,Bot,Top,Support,Mid,Jungle,Bot,Support,Top,Mid,Jungle,SB,https://www.youtube.com/live/s6Hxsxfbkak?si=oaraB0f-wrREWj64&t=10744
Week 4,Nongshim RedForce,KT Rolster,0 - 2,2,14.2,Vi,Sejuani,Senna,Rakan,Varus,Kalista,Lucian,"Orianna, Ashe","Milio, Azir",Caitlyn,Gnar,Rell,Udyr,Maokai,K'Sante,"Aatrox, Viego",Rammus,Bot,Support,Mid,Top,Jungle,Mid,Support,Bot,Top,Jungle,SB,https://www.youtube.com/live/s6Hxsxfbkak?si=aWdnbUUTDSa_MLU4&t=4588
Week 4,Nongshim RedForce,KT Rolster,0 - 1,2,14.2,Vi,Orianna,Senna,Lucian,Varus,Kalista,Sejuani,"Azir, Maokai","Taliyah, Aatrox",K'Sante,Rakan,Caitlyn,Nautilus,Ezreal,Ashe,"Aphelios, Milio",Zyra,Jungle,Mid,Top,Bot,Support,Mid,Jungle,Top,Bot,Support,SB,https://www.youtube.com/live/s6Hxsxfbkak?si=9YOt5n4K74Ga1DGh&t=1626
Week 4,OKSavingsBank BRION,Hanwha Life Esports,0 - 2,2,14.2,Corki,Poppy,Kalista,Karma,Vi,Azir,Orianna,"Senna, Sejuani","Varus, Nautilus",Tahm Kench,Viego,Yone,Lee Sin,Tristana,Akali,"Rell, Aatrox",Camille,Mid,Bot,Support,Jungle,Top,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/5UAVdeIt7Io?si=PF1sjNuimcWDKe6q&t=13736
Week 4,Hanwha Life Esports,OKSavingsBank BRION,1 - 0,1,14.2,Varus,Corki,Poppy,Kalista,Karma,Vi,Senna,"K'Sante, Lucian","Nautilus, Orianna",Milio,Udyr,Tristana,Gnar,Azir,Lee Sin,"Sejuani, Aatrox",Akali,Bot,Support,Mid,Jungle,Top,Top,Bot,Support,Jungle,Mid,SB,https://www.youtube.com/live/5UAVdeIt7Io?si=ZLqYPbsa03EVeYfx&t=10925
Week 4,Dplus KIA,T1,0 - 2,2,14.2,Ashe,Lucian,Neeko,Senna,Hwei,Kalista,Karma,"Varus, Rell","Xayah, Rakan",Orianna,Lee Sin,Nautilus,Viego,Gnar,Aatrox,"Vi, K'Sante",Tahm Kench,Mid,Bot,Support,Jungle,Top,Bot,Jungle,Mid,Top,Support,SB,https://www.youtube.com/live/5UAVdeIt7Io?si=X2fFX2muo5R9moIo&t=4547
Week 4,T1,Dplus KIA,1 - 0,1,14.2,Tristana,Orianna,Senna,Lucian,Karma,Neeko,Ashe,"Varus, Sejuani","Kalista, K'Sante",Pyke,Rell,Taliyah,Corki,Twisted Fate,Gnar,"Poppy, Azir",Akali,Support,Bot,Top,Jungle,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/5UAVdeIt7Io?si=z0kf6V6cxyVCebZF&t=1633
Week 4,DRX,Kwangdong Freecs,0 - 2,2,14.2,Kalista,Sejuani,Varus,Orianna,Hwei,Jarvan IV,Karma,"Senna, Azir","Lucian, Milio",Nautilus,Rell,Vi,Corki,Viego,Lee Sin,"Maokai, Yone",K'Sante,Top,Bot,Support,Jungle,Mid,Bot,Mid,Support,Jungle,Top,SB,https://www.youtube.com/live/rtvoSJcaxqk?si=68Jffx0-Xus4lXg3&t=15155
Week 4,DRX,Kwangdong Freecs,0 - 1,2,14.2,Kalista,Sejuani,Vi,Orianna,Varus,Udyr,Karma,"Senna, Hwei","Lucian, Milio",Nautilus,Jarvan IV,K'Sante,Xin Zhao,Viego,Lee Sin,"Poppy, Corki",Aatrox,Top,Bot,Support,Jungle,Mid,Bot,Mid,Support,Jungle,Top,SB,https://www.youtube.com/live/rtvoSJcaxqk?si=Wkj-oH1NydZ7fEw6&t=11656
